name,path,hand,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,Reviewer6,Reviewer7,Reviewer8,Reviewer9,Reviewer10,Reviewer11,Reviewer12,Reviewer13,Reviewer14,Reviewer15,Reviewer16,Reviewer17
DigitalInkMainActivity.java,android/digitalink/app/src/main/java/com/google/mlkit/samples/vision/digitalink/DigitalInkMainActivity.java,2.235294118,2,2,2,4,2,2,1,2,3,2,3,3,2,2,2,2,2
EMASmoothing.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/posedetector/classification/EMASmoothing.java,3.882352941,5,4,3,5,4,3,4,3,4,3,4,4,4,4,4,4,4
FaceDetectionActivity.java,android/android-snippets/app/src/main/java/com/google/example/mlkit/FaceDetectionActivity.java,1.941176471,1,2,5,2,4,2,2,1,1,2,2,2,2,2,1,1,1
FaceDetectorProcessor.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/facedetector/FaceDetectorProcessor.java,2.411764706,4,3,3,2,2,2,5,2,2,2,2,2,2,2,2,2,2
FaceGraphic.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/facedetector/FaceGraphic.java,2.764705882,4,3,3,3,4,3,3,1,3,3,3,3,3,2,2,2,2
FrameMetadata.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/FrameMetadata.java,4.882352941,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4
GraphicOverlay.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/GraphicOverlay.java,4.117647059,3,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4
ImageLabelingActivity.java,android/android-snippets/app/src/main/java/com/google/example/mlkit/ImageLabelingActivity.java,2.058823529,2,2,3,3,3,2,1,2,1,2,2,2,2,2,2,2,2
InferenceInfoGraphic.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/InferenceInfoGraphic.java,3.352941176,4,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3
LivePreviewActivity.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/LivePreviewActivity.java,3.058823529,4,4,2,4,3,3,2,3,4,3,3,3,3,3,3,3,2
LivePreviewPreferenceFragment.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/preference/LivePreviewPreferenceFragment.java,2.176470588,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,1,1
MainActivity.java,android/android-snippets/app/src/main/java/com/google/example/mlkit/MainActivity.java,2.058823529,4,2,1,1,1,4,5,4,1,1,2,2,2,2,1,1,1
MainActivityJava.java,android/langid/app/src/main/java/com/google/mlkit/samples/nl/languageid/java/MainActivityJava.java,2.117647059,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,1,2
Message.java,android/smartreply/app/src/main/java/com/google/mlkit/samples/nl/smartreply/java/model/Message.java,3.352941176,5,1,2,4,2,5,3,4,5,2,4,4,4,3,3,3,3
MessageListAdapter.java,android/smartreply/app/src/main/java/com/google/mlkit/samples/nl/smartreply/java/chat/MessageListAdapter.java,4.470588235,5,5,3,5,4,5,4,5,4,4,5,5,5,5,4,4,4
ObjectDetectionActivity.java,android/android-snippets/app/src/main/java/com/google/example/mlkit/ObjectDetectionActivity.java,2.411764706,4,2,3,2,3,3,1,2,2,3,3,3,2,2,2,2,2
ObjectGraphic.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/object/ObjectGraphic.java,3.176470588,3,4,3,4,4,3,2,3,4,4,3,3,3,3,3,3,2
PoseClassifier.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/posedetector/classification/PoseClassifier.java,3.764705882,4,5,4,5,4,3,3,5,3,4,4,4,4,3,3,3,3
PoseEmbedding.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/posedetector/classification/PoseEmbedding.java,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4
RecognitionTask.java,android/digitalink/app/src/main/java/com/google/mlkit/samples/vision/digitalink/RecognitionTask.java,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,4
ScopedExecutor.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/ScopedExecutor.java,4.294117647,5,4,4,5,5,4,5,4,4,4,5,4,4,5,4,3,4
SegmenterProcessor.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/segmenter/SegmenterProcessor.java,4.117647059,4,5,3,3,4,4,4,5,5,4,5,4,4,4,4,4,4
SettingsActivity.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/preference/SettingsActivity.java,3,2,4,3,2,4,3,3,4,5,3,3,3,3,3,3,2,1
StillImageActivity.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/StillImageActivity.java,2.647058824,3,3,3,3,3,3,1,3,3,3,3,2,3,2,3,2,2
StillImagePreferenceFragment.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/preference/StillImagePreferenceFragment.java,3.941176471,5,5,3,3,4,5,5,5,5,4,4,4,3,3,3,3,3
StrokeManager.java,android/digitalink/app/src/main/java/com/google/mlkit/samples/vision/digitalink/StrokeManager.java,3.470588235,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,2
TemperatureMonitor.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/TemperatureMonitor.java,4.588235294,4,5,4,5,4,5,5,5,4,5,5,5,5,5,4,4,4
TextRecognitionActivity.java,android/android-snippets/app/src/main/java/com/google/example/mlkit/TextRecognitionActivity.java,1.941176471,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
TranslateFragment.java,android/translate/app/src/main/java/com/google/mlkit/samples/nl/translate/java/TranslateFragment.java,3.058823529,3,4,4,3,4,3,3,3,2,3,3,3,3,3,3,3,2
Utils.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/posedetector/classification/Utils.java,4.529411765,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4
VisionImageProcessor.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/VisionImageProcessor.java,4.705882353,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3
